BusNo,BusName,T1,T2,T3,T4,T5,T6,T7,T8,T9,T10,T11,T12,T13,T14,T15,T16,T17,T18,T19,T20,T21,T22,T23,T24,T25,T26,T27,T28,T29,T30,T31,T32,T33,T34,T35,T36,T37,T38,T39,T40,T41,T42,T43,T44,T45,T46,T47,T48,T49,T50,T51,T52,T53,T54,T55,T56,T57,T58,T59,T60,T61,T62,T63,T64,T65,T66,T67,T68,T69,T70,T71,T72,T73,T74,T75,T76,T77,T78,T79,T80,T81,T82,T83,T84,T85,T86,T87,T88,T89,T90,T91,T92,T93,T94,T95,T96
256,B100,-0.620287,-0.5888348,-0.590287,-0.5122957,-0.5639826,-0.5059826,-0.3588261,-0.3352435,-0.3917739,-0.4569913,-0.4943652,-0.4233739,-0.412487,-0.4673739,-0.4180609,-0.3970174,-0.4004174,-0.3718783,-0.2973826,-0.2627217,-0.2587391,-0.2573826,-0.2059391,-0.2024783,-0.2217565,-0.2620261,-0.383087,-0.4367652,-0.4777826,-0.6274174,-0.6361217,-0.6305565,-0.6517913,-0.718887,-0.7221391,-0.6356087,-0.5779478,-0.6134,-0.5824261,-0.4515565,-0.4953043,-0.5248261,-0.5377913,-0.4778174,-0.5853565,-0.5940174,-0.4900261,-0.4582696,-0.3973391,-0.3836957,-0.4155739,-0.4752348,-0.4889391,-0.5152435,-0.3947217,-0.290687,-0.3482348,-0.3347217,-0.4671652,-0.488113,-0.4350435,-0.4995913,-0.4236261,-0.3705913,-0.5498087,-0.6508,-0.5586087,-0.5129826,-0.5229913,-0.559487,-0.5196609,-0.4865478,-0.5090957,-0.5786609,-0.5564435,-0.790313,-0.995087,-0.8971217,-0.767,-0.7514261,-0.6146957,-0.8214435,-0.8754261,-1.0881391,-1.264887,-1.2959565,-1.1835826,-1.1117478,-0.952087,-0.9091565,-0.8493739,-0.8518435,-0.7998261,-0.7972261,-0.8333391,-0.795887
259,B101,-1.1041108,-1.0481259,-1.0507108,-0.9118863,-1.003889,-0.900649,-0.6387104,-0.5967334,-0.6973576,-0.8134445,-0.8799701,-0.7536056,-0.7342268,-0.8319256,-0.7441483,-0.706691,-0.712743,-0.6619433,-0.529341,-0.4676447,-0.4605557,-0.458141,-0.3665717,-0.3604113,-0.3947266,-0.4664064,-0.6818948,-0.7774421,-0.850453,-1.116803,-1.1322967,-1.1223906,-1.1601885,-1.2796188,-1.2854077,-1.1313835,-1.0287471,-1.091852,-1.0367184,-0.8037706,-0.8816417,-0.9341904,-0.9572685,-0.850515,-1.0419346,-1.057351,-0.8722464,-0.8157198,-0.7072637,-0.6829783,-0.7397216,-0.8459179,-0.8703117,-0.9171334,-0.7026047,-0.5174228,-0.6198579,-0.5958047,-0.8315541,-0.8688412,-0.7743774,-0.8892725,-0.7540544,-0.6596525,-0.9786595,-1.158424,-0.9943235,-0.913109,-0.9309245,-0.9958868,-0.9249963,-0.8660551,-0.9061903,-1.0300163,-0.9904694,-1.4067572,-1.7712548,-1.5968767,-1.36526,-1.3375384,-1.0941583,-1.4621694,-1.5582584,-1.9368877,-2.2514988,-2.3068026,-2.106777,-1.9789111,-1.6947148,-1.6182986,-1.5118856,-1.5162814,-1.4236904,-1.4190624,-1.4833437,-1.4166788
262,B102,-0.8684017,-0.8243687,-0.8264017,-0.7172139,-0.7895757,-0.7083757,-0.5023565,-0.4693409,-0.5484835,-0.6397878,-0.6921113,-0.5927235,-0.5774817,-0.6543235,-0.5852852,-0.5558243,-0.5605843,-0.5206296,-0.4163357,-0.3678104,-0.3622348,-0.3603357,-0.2883148,-0.2834696,-0.3104591,-0.3668365,-0.5363217,-0.6114713,-0.6688957,-0.8783843,-0.8905704,-0.8827791,-0.9125078,-1.0064417,-1.0109948,-0.8898522,-0.809127,-0.85876,-0.8153965,-0.6321791,-0.6934261,-0.7347565,-0.7529078,-0.6689443,-0.8194991,-0.8316243,-0.6860365,-0.6415774,-0.5562748,-0.5371739,-0.5818035,-0.6653287,-0.6845148,-0.7213409,-0.5526104,-0.4069617,-0.4875287,-0.4686104,-0.6540313,-0.6833583,-0.6090609,-0.6994278,-0.5930765,-0.5188278,-0.7697322,-0.91112,-0.7820522,-0.7181757,-0.7321878,-0.7832817,-0.7275252,-0.681167,-0.7127339,-0.8101252,-0.7790209,-1.1064383,-1.3931217,-1.2559704,-1.0738,-1.0519965,-0.8605739,-1.1500209,-1.2255965,-1.5233948,-1.7708417,-1.8143391,-1.6570157,-1.556447,-1.3329217,-1.2728191,-1.1891235,-1.1925809,-1.1197565,-1.1161165,-1.1666748,-1.1142417
265,B103,-1.2157624,-1.1541162,-1.1569624,-1.0040995,-1.1054059,-0.9917259,-0.7032991,-0.6570772,-0.7678769,-0.895703,-0.9689558,-0.8298129,-0.8084744,-0.9160529,-0.8193993,-0.7781541,-0.7848181,-0.7288814,-0.5828699,-0.5149346,-0.5071287,-0.5044699,-0.4036407,-0.3968574,-0.4346428,-0.5135711,-0.7508504,-0.8560598,-0.9364539,-1.2297381,-1.2467986,-1.2358908,-1.277511,-1.4090184,-1.4153927,-1.245793,-1.1327777,-1.202264,-1.1415551,-0.8850508,-0.9707965,-1.0286591,-1.054071,-0.9365221,-1.1472988,-1.1642741,-0.9604511,-0.8982083,-0.7787847,-0.7520435,-0.8145249,-0.9314602,-0.9583207,-1.0098772,-0.7736546,-0.5697464,-0.6825402,-0.6560546,-0.9156438,-0.9567016,-0.8526852,-0.979199,-0.8303071,-0.726359,-1.077625,-1.275568,-1.094873,-1.0054459,-1.025063,-1.0965944,-1.0185353,-0.9536337,-0.9978275,-1.1341753,-1.0906292,-1.5490136,-1.9503704,-1.7583586,-1.50332,-1.4727951,-1.2048035,-1.6100292,-1.7158351,-2.1327527,-2.4791784,-2.5400748,-2.3198219,-2.1790257,-1.8660904,-1.7819468,-1.6647729,-1.6696132,-1.5676591,-1.5625631,-1.6333447,-1.5599384
268,B104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.02144,-0.12504,-0.16612,-0.18932,-0.23756,-0.23936,-0.50012,-0.61084,-0.27328,-0.60908,-1.0556,-0.94484,-0.9002,-0.52512,-0.4876,-1.12348,-1.25564,-1.52176,-1.77004,-1.75756,-1.62536,-1.84864,-1.91472,-1.48248,-1.21812,-1.68252,-1.35568,-1.51464,-1.929,-1.76648,-2.45412,-0.7198,-1.99332,-0.9538,-0.57692,-0.48404,-0.48584,-0.24828,-0.32684,-0.34828,-0.31616,-0.27508,-0.26076,-0.11608,-0.21256,-0.14468,-0.04288,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
271,B105,-1.2405739,-1.1776696,-1.1805739,-1.0245913,-1.1279652,-1.0119652,-0.7176522,-0.670487,-0.7835478,-0.9139826,-0.9887304,-0.8467478,-0.8249739,-0.9347478,-0.8361217,-0.7940348,-0.8008348,-0.7437565,-0.5947652,-0.5254435,-0.5174783,-0.5147652,-0.4118783,-0.4049565,-0.443513,-0.5240522,-0.7661739,-0.8735304,-0.9555652,-1.2548348,-1.2722435,-1.261113,-1.3035826,-1.4377739,-1.4442783,-1.2712174,-1.1558957,-1.2268,-1.1648522,-0.903113,-0.9906087,-1.0496522,-1.0755826,-0.9556348,-1.170713,-1.1880348,-0.9800522,-0.9165391,-0.7946783,-0.7673913,-0.8311478,-0.9504696,-0.9778783,-1.030487,-0.7894435,-0.5813739,-0.6964696,-0.6694435,-0.9343304,-0.9762261,-0.870087,-0.9991826,-0.8472522,-0.7411826,-1.0996174,-1.3016,-1.1172174,-1.0259652,-1.0459826,-1.1189739,-1.0393217,-0.9730957,-1.0181913,-1.1573217,-1.112887,-1.5806261,-1.9901739,-1.7942435,-1.534,-1.5028522,-1.2293913,-1.642887,-1.7508522,-2.1762783,-2.5297739,-2.591913,-2.3671652,-2.2234957,-1.9041739,-1.818313,-1.6987478,-1.703687,-1.5996522,-1.5944522,-1.6666783,-1.5917739
274,B106,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0135411,-0.0789726,-0.1049179,-0.1195705,-0.1500379,-0.1511747,-0.3158653,-0.3857937,-0.1725979,-0.3846821,-0.6666947,-0.5967411,-0.5685474,-0.3316547,-0.3079579,-0.7095663,-0.7930358,-0.9611116,-1.11792,-1.1100379,-1.0265432,-1.1675621,-1.2092968,-0.9363032,-0.7693389,-1.0626442,-0.8562189,-0.9566147,-1.2183158,-1.1156716,-1.5499705,-0.4546105,-1.2589389,-0.6024,-0.3643705,-0.3057095,-0.3068463,-0.1568084,-0.2064253,-0.2199663,-0.19968,-0.1737347,-0.1646905,-0.0733137,-0.1342484,-0.0913768,-0.0270821,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
277,B107,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0270821,-0.1579453,-0.2098358,-0.2391411,-0.3000758,-0.3023495,-0.6317305,-0.7715874,-0.3451958,-0.7693642,-1.3333895,-1.1934821,-1.1370947,-0.6633095,-0.6159158,-1.4191326,-1.5860716,-1.9222232,-2.23584,-2.2200758,-2.0530863,-2.3351242,-2.4185937,-1.8726063,-1.5386779,-2.1252884,-1.7124379,-1.9132295,-2.4366316,-2.2313432,-3.0999411,-0.9092211,-2.5178779,-1.2048,-0.7287411,-0.6114189,-0.6136926,-0.3136168,-0.4128505,-0.4399326,-0.39936,-0.3474695,-0.3293811,-0.1466274,-0.2684968,-0.1827537,-0.0541642,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
280,B108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0112842,-0.0658105,-0.0874316,-0.0996421,-0.1250316,-0.1259789,-0.2632211,-0.3214947,-0.1438316,-0.3205684,-0.5555789,-0.4972842,-0.4737895,-0.2763789,-0.2566316,-0.5913053,-0.6608632,-0.8009263,-0.9316,-0.9250316,-0.8554526,-0.9729684,-1.0077474,-0.7802526,-0.6411158,-0.8855368,-0.7135158,-0.7971789,-1.0152632,-0.9297263,-1.2916421,-0.3788421,-1.0491158,-0.502,-0.3036421,-0.2547579,-0.2557053,-0.1306737,-0.1720211,-0.1833053,-0.1664,-0.1447789,-0.1372421,-0.0610947,-0.1118737,-0.0761474,-0.0225684,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
283,B109,-0.9924591,-0.9421357,-0.9444591,-0.819673,-0.9023722,-0.8095722,-0.5741217,-0.5363896,-0.6268383,-0.7311861,-0.7909843,-0.6773983,-0.6599791,-0.7477983,-0.6688974,-0.6352278,-0.6406678,-0.5950052,-0.4758122,-0.4203548,-0.4139826,-0.4118122,-0.3295026,-0.3239652,-0.3548104,-0.4192417,-0.6129391,-0.6988243,-0.7644522,-1.0038678,-1.0177948,-1.0088904,-1.0428661,-1.1502191,-1.1554226,-1.0169739,-0.9247165,-0.98144,-0.9318817,-0.7224904,-0.792487,-0.8397217,-0.8604661,-0.7645078,-0.9365704,-0.9504278,-0.7840417,-0.7332313,-0.6357426,-0.613913,-0.6649183,-0.7603757,-0.7823026,-0.8243896,-0.6315548,-0.4650991,-0.5571757,-0.5355548,-0.7474643,-0.7809809,-0.6960696,-0.7993461,-0.6778017,-0.5929461,-0.8796939,-1.04128,-0.8937739,-0.8207722,-0.8367861,-0.8951791,-0.8314574,-0.7784765,-0.814553,-0.9258574,-0.8903096,-1.2645009,-1.5921391,-1.4353948,-1.2272,-1.2022817,-0.983513,-1.3143096,-1.4006817,-1.7410226,-2.0238191,-2.0735304,-1.8937322,-1.7787965,-1.5233391,-1.4546504,-1.3589983,-1.3629496,-1.2797217,-1.2755617,-1.3333426,-1.2734191
286,B110,-1.2405739,-1.1776696,-1.1805739,-1.0245913,-1.1279652,-1.0119652,-0.7176522,-0.670487,-0.7835478,-0.9139826,-0.9887304,-0.8467478,-0.8249739,-0.9347478,-0.8361217,-0.7940348,-0.8008348,-0.7437565,-0.5947652,-0.5254435,-0.5174783,-0.5147652,-0.4118783,-0.4049565,-0.443513,-0.5240522,-0.7661739,-0.8735304,-0.9555652,-1.2548348,-1.2722435,-1.261113,-1.3035826,-1.4377739,-1.4442783,-1.2712174,-1.1558957,-1.2268,-1.1648522,-0.903113,-0.9906087,-1.0496522,-1.0755826,-0.9556348,-1.170713,-1.1880348,-0.9800522,-0.9165391,-0.7946783,-0.7673913,-0.8311478,-0.9504696,-0.9778783,-1.030487,-0.7894435,-0.5813739,-0.6964696,-0.6694435,-0.9343304,-0.9762261,-0.870087,-0.9991826,-0.8472522,-0.7411826,-1.0996174,-1.3016,-1.1172174,-1.0259652,-1.0459826,-1.1189739,-1.0393217,-0.9730957,-1.0181913,-1.1573217,-1.112887,-1.5806261,-1.9901739,-1.7942435,-1.534,-1.5028522,-1.2293913,-1.642887,-1.7508522,-2.1762783,-2.5297739,-2.591913,-2.3671652,-2.2234957,-1.9041739,-1.818313,-1.6987478,-1.703687,-1.5996522,-1.5944522,-1.6666783,-1.5917739
289,B111,-0.6078812,-0.5770581,-0.5784812,-0.5020497,-0.552703,-0.495863,-0.3516496,-0.3285386,-0.3839384,-0.4478515,-0.4844779,-0.4149064,-0.4042372,-0.4580264,-0.4096997,-0.389077,-0.392409,-0.3644407,-0.291435,-0.2574673,-0.2535643,-0.252235,-0.2018203,-0.1984287,-0.2173214,-0.2567856,-0.3754252,-0.4280299,-0.468227,-0.614869,-0.6233993,-0.6179454,-0.6387555,-0.7045092,-0.7076963,-0.6228965,-0.5663889,-0.601132,-0.5707776,-0.4425254,-0.4853983,-0.5143296,-0.5270355,-0.468261,-0.5736494,-0.582137,-0.4802256,-0.4491042,-0.3893923,-0.3760217,-0.4072624,-0.4657301,-0.4791603,-0.5049386,-0.3868273,-0.2848732,-0.3412701,-0.3280273,-0.4578219,-0.4783508,-0.4263426,-0.4895995,-0.4151536,-0.3631795,-0.5388125,-0.637784,-0.5474365,-0.502723,-0.5125315,-0.5482972,-0.5092677,-0.4768169,-0.4989137,-0.5670877,-0.5453146,-0.7745068,-0.9751852,-0.8791793,-0.75166,-0.7363976,-0.6024017,-0.8050146,-0.8579176,-1.0663763,-1.2395892,-1.2700374,-1.159911,-1.0895129,-0.9330452,-0.8909734,-0.8323864,-0.8348066,-0.7838296,-0.7812816,-0.8166723,-0.7799692
292,B112,-1.190951,-1.1305628,-1.133351,-0.9836077,-1.0828466,-0.9714866,-0.6889461,-0.6436675,-0.7522059,-0.8774233,-0.9491812,-0.8128779,-0.791975,-0.8973579,-0.8026769,-0.7622734,-0.7688014,-0.7140063,-0.5709746,-0.5044257,-0.4967791,-0.4941746,-0.3954031,-0.3887583,-0.4257725,-0.5030901,-0.735527,-0.8385892,-0.9173426,-1.2046414,-1.2213537,-1.2106685,-1.2514393,-1.380263,-1.3865071,-1.2203687,-1.1096598,-1.177728,-1.1182581,-0.8669885,-0.9509843,-1.0076661,-1.0325593,-0.9174094,-1.1238845,-1.1405134,-0.9408501,-0.8798776,-0.7628911,-0.7366957,-0.7979019,-0.9124508,-0.9387631,-0.9892675,-0.7578657,-0.558119,-0.6686108,-0.6426657,-0.8969572,-0.937177,-0.8352835,-0.9592153,-0.8133621,-0.7115353,-1.0556327,-1.249536,-1.0725287,-0.9849266,-1.0041433,-1.074215,-0.9977489,-0.9341718,-0.9774637,-1.1110289,-1.0683715,-1.517401,-1.910567,-1.7224737,-1.47264,-1.4427381,-1.1802157,-1.5771715,-1.6808181,-2.0892271,-2.428583,-2.4882365,-2.2724786,-2.1345558,-1.828007,-1.7455805,-1.6307979,-1.6355395,-1.5356661,-1.5306741,-1.6000111,-1.528103
295,B113,-0.620287,-0.5888348,-0.590287,-0.5122957,-0.5639826,-0.5059826,-0.3588261,-0.3352435,-0.3917739,-0.4569913,-0.4943652,-0.4233739,-0.412487,-0.4673739,-0.4180609,-0.3970174,-0.4004174,-0.3718783,-0.2973826,-0.2627217,-0.2587391,-0.2573826,-0.2059391,-0.2024783,-0.2217565,-0.2620261,-0.383087,-0.4367652,-0.4777826,-0.6274174,-0.6361217,-0.6305565,-0.6517913,-0.718887,-0.7221391,-0.6356087,-0.5779478,-0.6134,-0.5824261,-0.4515565,-0.4953043,-0.5248261,-0.5377913,-0.4778174,-0.5853565,-0.5940174,-0.4900261,-0.4582696,-0.3973391,-0.3836957,-0.4155739,-0.4752348,-0.4889391,-0.5152435,-0.3947217,-0.290687,-0.3482348,-0.3347217,-0.4671652,-0.488113,-0.4350435,-0.4995913,-0.4236261,-0.3705913,-0.5498087,-0.6508,-0.5586087,-0.5129826,-0.5229913,-0.559487,-0.5196609,-0.4865478,-0.5090957,-0.5786609,-0.5564435,-0.790313,-0.995087,-0.8971217,-0.767,-0.7514261,-0.6146957,-0.8214435,-0.8754261,-1.0881391,-1.264887,-1.2959565,-1.1835826,-1.1117478,-0.952087,-0.9091565,-0.8493739,-0.8518435,-0.7998261,-0.7972261,-0.8333391,-0.795887
298,B114,-0.620287,-0.5888348,-0.590287,-0.5122957,-0.5639826,-0.5059826,-0.3588261,-0.3352435,-0.3917739,-0.4569913,-0.4943652,-0.4233739,-0.412487,-0.4673739,-0.4180609,-0.3970174,-0.4004174,-0.3718783,-0.2973826,-0.2627217,-0.2587391,-0.2573826,-0.2059391,-0.2024783,-0.2217565,-0.2620261,-0.383087,-0.4367652,-0.4777826,-0.6274174,-0.6361217,-0.6305565,-0.6517913,-0.718887,-0.7221391,-0.6356087,-0.5779478,-0.6134,-0.5824261,-0.4515565,-0.4953043,-0.5248261,-0.5377913,-0.4778174,-0.5853565,-0.5940174,-0.4900261,-0.4582696,-0.3973391,-0.3836957,-0.4155739,-0.4752348,-0.4889391,-0.5152435,-0.3947217,-0.290687,-0.3482348,-0.3347217,-0.4671652,-0.488113,-0.4350435,-0.4995913,-0.4236261,-0.3705913,-0.5498087,-0.6508,-0.5586087,-0.5129826,-0.5229913,-0.559487,-0.5196609,-0.4865478,-0.5090957,-0.5786609,-0.5564435,-0.790313,-0.995087,-0.8971217,-0.767,-0.7514261,-0.6146957,-0.8214435,-0.8754261,-1.0881391,-1.264887,-1.2959565,-1.1835826,-1.1117478,-0.952087,-0.9091565,-0.8493739,-0.8518435,-0.7998261,-0.7972261,-0.8333391,-0.795887
301,B115,-0.620287,-0.5888348,-0.590287,-0.5122957,-0.5639826,-0.5059826,-0.3588261,-0.3352435,-0.3917739,-0.4569913,-0.4943652,-0.4233739,-0.412487,-0.4673739,-0.4180609,-0.3970174,-0.4004174,-0.3718783,-0.2973826,-0.2627217,-0.2587391,-0.2573826,-0.2059391,-0.2024783,-0.2217565,-0.2620261,-0.383087,-0.4367652,-0.4777826,-0.6274174,-0.6361217,-0.6305565,-0.6517913,-0.718887,-0.7221391,-0.6356087,-0.5779478,-0.6134,-0.5824261,-0.4515565,-0.4953043,-0.5248261,-0.5377913,-0.4778174,-0.5853565,-0.5940174,-0.4900261,-0.4582696,-0.3973391,-0.3836957,-0.4155739,-0.4752348,-0.4889391,-0.5152435,-0.3947217,-0.290687,-0.3482348,-0.3347217,-0.4671652,-0.488113,-0.4350435,-0.4995913,-0.4236261,-0.3705913,-0.5498087,-0.6508,-0.5586087,-0.5129826,-0.5229913,-0.559487,-0.5196609,-0.4865478,-0.5090957,-0.5786609,-0.5564435,-0.790313,-0.995087,-0.8971217,-0.767,-0.7514261,-0.6146957,-0.8214435,-0.8754261,-1.0881391,-1.264887,-1.2959565,-1.1835826,-1.1117478,-0.952087,-0.9091565,-0.8493739,-0.8518435,-0.7998261,-0.7972261,-0.8333391,-0.795887
304,B116,-1.3646313,-1.2954365,-1.2986313,-1.1270504,-1.2407617,-1.1131617,-0.7894174,-0.7375357,-0.8619026,-1.0053809,-1.0876035,-0.9314226,-0.9074713,-1.0282226,-0.9197339,-0.8734383,-0.8809183,-0.8181322,-0.6542417,-0.5779878,-0.5692261,-0.5662417,-0.4530661,-0.4454522,-0.4878643,-0.5764574,-0.8427913,-0.9608835,-1.0511217,-1.3803183,-1.3994678,-1.3872243,-1.4339409,-1.5815513,-1.5887061,-1.3983391,-1.2714852,-1.34948,-1.2813374,-0.9934243,-1.0896696,-1.1546174,-1.1831409,-1.0511983,-1.2877843,-1.3068383,-1.0780574,-1.008193,-0.8741461,-0.8441304,-0.9142626,-1.0455165,-1.0756661,-1.1335357,-0.8683878,-0.6395113,-0.7661165,-0.7363878,-1.0277635,-1.0738487,-0.9570957,-1.0991009,-0.9319774,-0.8153009,-1.2095791,-1.43176,-1.2289391,-1.1285617,-1.1505809,-1.2308713,-1.1432539,-1.0704052,-1.1200104,-1.2730539,-1.2241757,-1.7386887,-2.1891913,-1.9736678,-1.6874,-1.6531374,-1.3523304,-1.8071757,-1.9259374,-2.3939061,-2.7827513,-2.8511043,-2.6038817,-2.4458452,-2.0945913,-2.0001443,-1.8686226,-1.8740557,-1.7596174,-1.7538974,-1.8333461,-1.7509513
307,B117,-1.2405739,-1.1776696,-1.1805739,-1.0245913,-1.1279652,-1.0119652,-0.7176522,-0.670487,-0.7835478,-0.9139826,-0.9887304,-0.8467478,-0.8249739,-0.9347478,-0.8361217,-0.7940348,-0.8008348,-0.7437565,-0.5947652,-0.5254435,-0.5174783,-0.5147652,-0.4118783,-0.4049565,-0.443513,-0.5240522,-0.7661739,-0.8735304,-0.9555652,-1.2548348,-1.2722435,-1.261113,-1.3035826,-1.4377739,-1.4442783,-1.2712174,-1.1558957,-1.2268,-1.1648522,-0.903113,-0.9906087,-1.0496522,-1.0755826,-0.9556348,-1.170713,-1.1880348,-0.9800522,-0.9165391,-0.7946783,-0.7673913,-0.8311478,-0.9504696,-0.9778783,-1.030487,-0.7894435,-0.5813739,-0.6964696,-0.6694435,-0.9343304,-0.9762261,-0.870087,-0.9991826,-0.8472522,-0.7411826,-1.0996174,-1.3016,-1.1172174,-1.0259652,-1.0459826,-1.1189739,-1.0393217,-0.9730957,-1.0181913,-1.1573217,-1.112887,-1.5806261,-1.9901739,-1.7942435,-1.534,-1.5028522,-1.2293913,-1.642887,-1.7508522,-2.1762783,-2.5297739,-2.591913,-2.3671652,-2.2234957,-1.9041739,-1.818313,-1.6987478,-1.703687,-1.5996522,-1.5944522,-1.6666783,-1.5917739
310,B118,-1.2281682,-1.1658929,-1.1687682,-1.0143454,-1.1166856,-1.0018456,-0.7104757,-0.6637821,-0.7757123,-0.9048428,-0.9788431,-0.8382803,-0.8167242,-0.9254003,-0.8277605,-0.7860944,-0.7928264,-0.736319,-0.5888176,-0.520189,-0.5123035,-0.5096176,-0.4077595,-0.400907,-0.4390779,-0.5188117,-0.7585122,-0.8647951,-0.9460096,-1.2422864,-1.259521,-1.2485019,-1.2905468,-1.4233962,-1.4298355,-1.2585052,-1.1443367,-1.214532,-1.1532037,-0.8940819,-0.9807026,-1.0391557,-1.0648268,-0.9460784,-1.1590059,-1.1761544,-0.9702517,-0.9073737,-0.7867315,-0.7597174,-0.8228363,-0.9409649,-0.9680995,-1.0201821,-0.781549,-0.5755602,-0.6895049,-0.662749,-0.9249871,-0.9664638,-0.8613861,-0.9891908,-0.8387797,-0.7337708,-1.0886212,-1.288584,-1.1060452,-1.0157056,-1.0355228,-1.1077842,-1.0289285,-0.9633647,-1.0080094,-1.1457485,-1.1017581,-1.5648198,-1.9702722,-1.776301,-1.51866,-1.4878237,-1.2170974,-1.6264581,-1.7333437,-2.1545155,-2.5044762,-2.5659939,-2.3434936,-2.2012607,-1.8851322,-1.8001299,-1.6817603,-1.6866501,-1.5836557,-1.5785077,-1.6500115,-1.5758562
313,B119,-1.2281682,-1.1658929,-1.1687682,-1.0143454,-1.1166856,-1.0018456,-0.7104757,-0.6637821,-0.7757123,-0.9048428,-0.9788431,-0.8382803,-0.8167242,-0.9254003,-0.8277605,-0.7860944,-0.7928264,-0.736319,-0.5888176,-0.520189,-0.5123035,-0.5096176,-0.4077595,-0.400907,-0.4390779,-0.5188117,-0.7585122,-0.8647951,-0.9460096,-1.2422864,-1.259521,-1.2485019,-1.2905468,-1.4233962,-1.4298355,-1.2585052,-1.1443367,-1.214532,-1.1532037,-0.8940819,-0.9807026,-1.0391557,-1.0648268,-0.9460784,-1.1590059,-1.1761544,-0.9702517,-0.9073737,-0.7867315,-0.7597174,-0.8228363,-0.9409649,-0.9680995,-1.0201821,-0.781549,-0.5755602,-0.6895049,-0.662749,-0.9249871,-0.9664638,-0.8613861,-0.9891908,-0.8387797,-0.7337708,-1.0886212,-1.288584,-1.1060452,-1.0157056,-1.0355228,-1.1077842,-1.0289285,-0.9633647,-1.0080094,-1.1457485,-1.1017581,-1.5648198,-1.9702722,-1.776301,-1.51866,-1.4878237,-1.2170974,-1.6264581,-1.7333437,-2.1545155,-2.5044762,-2.5659939,-2.3434936,-2.2012607,-1.8851322,-1.8001299,-1.6817603,-1.6866501,-1.5836557,-1.5785077,-1.6500115,-1.5758562
316,B120,-1.2281682,-1.1658929,-1.1687682,-1.0143454,-1.1166856,-1.0018456,-0.7104757,-0.6637821,-0.7757123,-0.9048428,-0.9788431,-0.8382803,-0.8167242,-0.9254003,-0.8277605,-0.7860944,-0.7928264,-0.736319,-0.5888176,-0.520189,-0.5123035,-0.5096176,-0.4077595,-0.400907,-0.4390779,-0.5188117,-0.7585122,-0.8647951,-0.9460096,-1.2422864,-1.259521,-1.2485019,-1.2905468,-1.4233962,-1.4298355,-1.2585052,-1.1443367,-1.214532,-1.1532037,-0.8940819,-0.9807026,-1.0391557,-1.0648268,-0.9460784,-1.1590059,-1.1761544,-0.9702517,-0.9073737,-0.7867315,-0.7597174,-0.8228363,-0.9409649,-0.9680995,-1.0201821,-0.781549,-0.5755602,-0.6895049,-0.662749,-0.9249871,-0.9664638,-0.8613861,-0.9891908,-0.8387797,-0.7337708,-1.0886212,-1.288584,-1.1060452,-1.0157056,-1.0355228,-1.1077842,-1.0289285,-0.9633647,-1.0080094,-1.1457485,-1.1017581,-1.5648198,-1.9702722,-1.776301,-1.51866,-1.4878237,-1.2170974,-1.6264581,-1.7333437,-2.1545155,-2.5044762,-2.5659939,-2.3434936,-2.2012607,-1.8851322,-1.8001299,-1.6817603,-1.6866501,-1.5836557,-1.5785077,-1.6500115,-1.5758562
319,B121,-1.2281682,-1.1658929,-1.1687682,-1.0143454,-1.1166856,-1.0018456,-0.7104757,-0.6637821,-0.7757123,-0.9048428,-0.9788431,-0.8382803,-0.8167242,-0.9254003,-0.8277605,-0.7860944,-0.7928264,-0.736319,-0.5888176,-0.520189,-0.5123035,-0.5096176,-0.4077595,-0.400907,-0.4390779,-0.5188117,-0.7585122,-0.8647951,-0.9460096,-1.2422864,-1.259521,-1.2485019,-1.2905468,-1.4233962,-1.4298355,-1.2585052,-1.1443367,-1.214532,-1.1532037,-0.8940819,-0.9807026,-1.0391557,-1.0648268,-0.9460784,-1.1590059,-1.1761544,-0.9702517,-0.9073737,-0.7867315,-0.7597174,-0.8228363,-0.9409649,-0.9680995,-1.0201821,-0.781549,-0.5755602,-0.6895049,-0.662749,-0.9249871,-0.9664638,-0.8613861,-0.9891908,-0.8387797,-0.7337708,-1.0886212,-1.288584,-1.1060452,-1.0157056,-1.0355228,-1.1077842,-1.0289285,-0.9633647,-1.0080094,-1.1457485,-1.1017581,-1.5648198,-1.9702722,-1.776301,-1.51866,-1.4878237,-1.2170974,-1.6264581,-1.7333437,-2.1545155,-2.5044762,-2.5659939,-2.3434936,-2.2012607,-1.8851322,-1.8001299,-1.6817603,-1.6866501,-1.5836557,-1.5785077,-1.6500115,-1.5758562
